Gene	Established_log2.FC.	Established_q_value
B3gnt7	0.262616	1
C130036L24Rik	-0.49425	1
Ptma	-0.366399	0.312119
Cops7b	-0.0384841	0.986905
Dis3l2	-0.198212	0.871153
Chrnd	0.791438	1
Chrng	0.878428	0.464466
Eif4e2	0.203139	0.718001
Efhd1	-0.313829	0.910965
Gigyf2	0.132737	0.863245
3110079O15Rik	0	1
Inpp5d	0.915205	0.0326569
Atg16l1	0.31129	0.527126
Sag	0.911888	1
Dgkd	0.211116	0.728728
Spp2	0	1
Gm19589	1.15764	1
Sh3bp4	0.559177	0.0779347
Agap1	0.59447	0.0316133
Cops8	-0.0316907	0.986386
Mlph	0.701259	0.517757
Prlh	0	1
Lrrfip1	0.955998	0.00139332
Rbm44	-2.7953	1
Ramp1	-0.65525	0.574145
Ube2f	0.431947	0.197715
Scly	0.158818	0.913942
Espnl	0.93522	1
Klhl30	1.07108	0.126023
Fam132b	0.740153	0.0700642
Traf3ip1	0.0797643	0.966228
Asb1	0.273558	0.640836
Twist2	0.545345	0.241251
Olfr1413	0	1
Olfr1412	0	1
Olfr1411	0	1
Olfr12	0	1
Gpc1	-1.10094	0.00139332
Mir149	0	1
Dusp28	-0.471937	0.652947
Rnpepl1	-0.0519977	0.979033
Capn10	-0.122862	0.944269
Gpr35	1.26799	0.0088339
Aqp12	0	1
Agxt	-0.563615	1
Sned1	-1.617	0.00139332
Ppp1r7	-0.256728	0.640817
Ano7	-1.23538	1
Sept2	-0.0910941	0.930917
Farp2	-0.0713857	0.979033
Bok	0.105373	0.944255
Atg4b	-0.0408115	0.981235
Ing5	0.203768	0.806661
D2hgdh	-0.335347	0.59689
Gal3st2	0.470306	1
Gm6086	0.786045	1
Neu4	0	1
Fam174a	-0.0878362	0.95508
Gin1	-0.347258	0.802036
Slco6d1	0	1
Gm20268	0	1
Cdh20	-0.167308	1
2310035C23Rik	0.209823	0.778003
Tnfrsf11a	0.397379	0.594505
Zcchc2	0.493583	0.197261
Phlpp1	0.876007	0.00254281
Serpinb5	-0.149241	1
Serpinb13	0	1
Serpinb7	1.13091	1
Serpinb2	2.19692	0.00631591
Serpinb10	2.22921	1
Serpinb8	0.322968	0.79233
Cntnap5a	1.21298	1
Clasp1	0.224004	0.67387
Tfcp2l1	0.139131	1
Tmem185b	0.277477	0.609793
Sctr	1.64509	1
3110009E18Rik	0.259554	0.917976
C1ql2	1.54317	1
En1	0.083025	0.967999
Ccdc93	0.140465	0.868604
Slc35f5	-0.158573	0.819412
Gpr39	0.58281	0.600635
Mgat5	0.212633	0.750922
Ccnt2	0.241104	0.682109
Rab3gap1	0.0890238	0.934649
Mir128-1	0	1
Yod1	-0.0490826	0.992015
AA986860	-0.0841781	0.983495
Fcamr	-1.85311	0.106275
Pigr	-0.388685	1
Il10	-0.390065	1
Eif2d	-0.120617	0.900303
Fam72a	-0.155627	0.949258
Avpr1b	0	1
5430435G22Rik	0.864935	0.0088339
Pm20d1	-0.027067	0.995109
Slc41a1	-0.386965	0.274523
Nucks1	-0.251098	0.543677
Slc45a3	-0.0546973	0.99069
Elk4	0.244415	0.937723
Lemd1	-2.48041	0.00800689
Mir135b	0	1
Klhdc8a	0.312814	0.449878
Nuak2	0.773952	0.00631591
Dstyk	0.00390844	0.997725
Lrrn2	-0.840005	1
Pik3c2b	1.25081	0.0743954
Ppp1r15b	0.267762	0.498548
Plekha6	0.00560183	1
Golt1a	0	1
Etnk2	-0.93129	1
Fmod	-0.71853	0.0336796
Chit1	-0.257527	1
Mybph	1.17753	0.211328
Myog	0.875783	0.394835
4933406M09Rik	1.21098	1
Cyb5r1	0.00177988	0.998062
Adipor1	-0.0910883	0.927231
Klhl12	0.071563	0.965026
Rabif	0.0888038	0.94018
Kdm5b	0.152341	0.820328
Ube2t	-0.462251	0.563264
Ptpn7	0.701726	0.290607
Arl8a	0.523179	0.0412792
Lmod1	1.06643	0.103224
Csrp1	0.562266	0.0257733
Phlda3	0.142783	0.859026
Tnni1	1.02244	0.169076
Lad1	0.598433	1
Tnnt2	1.40909	0.0252425
Tmem9	-0.233486	0.658269
Cacna1s	0.994225	1
Kif21b	0.0811486	0.962339
Ddx59	-0.0926422	0.964051
Zfp281	0.328265	0.391606
Gm16880	1.11693	0.338022
Atp6v1g3	0	1
Dennd1b	0.194627	0.85889
Zbtb41	0.00223282	0.998057
Aspm	-0.686614	0.150041
Kcnt2	-0.132263	0.952411
B3galt2	-1.72631	1
Ptgs2	1.72365	0.00139332
Pdc	0.832836	0.620879
Tpr	0.0815806	0.990555
C730036E19Rik	0.0604645	1
Ivns1abp	0.297481	0.438346
Trmt1l	-0.0686769	0.966132
Fam129a	0.247392	0.601109
Edem3	0.254987	0.556835
Arpc5	0.419979	0.142791
Ncf2	1.17841	0.694274
Nmnat2	-0.0790472	0.979033
Shcbp1l	2.24256	1
Rgs8	0.345713	0.562631
Rgs16	1.88627	0.00139332
Rnasel	0.362815	0.675183
Gm5531	0.737252	1
Teddm1	0	1
Glul	0.381999	0.267158
Zfp648	0	1
Stx6	0.257715	0.601109
Acbd6	-0.243331	0.694274
Tor1aip2	0.191636	0.844231
Nphs2	2.38272	1
Abl2	0.777145	0.00139332
Angptl1	-0.423315	1
2810025M15Rik	-0.65074	0.326905
BC026585	0.126896	0.95458
Sec16b	-0.192885	0.802832
Astn1	-0.20263	1
Mir488	0	1
Rfwd2	-0.0349371	0.982854
Scarna3a	0	1
Tnr	-1.53744	1
4930523C07Rik	-0.101898	0.955942
Mrps14	-0.132964	0.894386
Rc3h1	0.0511805	0.975498
Serpinc1	0.37923	1
Snord47	0	1
Cenpl	-0.691371	0.134772
Ankrd45	-0.524421	1
Tnfsf4	4.26859	0.0331708
Tnfsf18	3.92312	0.0305485
Pigc	-0.347779	0.464049
Dnm3os	-0.280235	0.566588
Vamp4	-0.0288062	0.991906
Myoc	-0.782869	1
Kifap3	-0.0724218	0.952843
Scyl3	0.0259876	0.993242
Mettl18	-0.120355	0.966132
Sele	2.50885	1
Sell	0	1
Selp	-0.555413	0.894149
F5	-0.294288	0.699827
Slc19a2	0.346026	0.337458
Nme7	-0.0691001	0.986649
Dpt	0.417174	0.486172
Gpr161	0.204337	0.817862
Mpc2	-0.274863	0.624065
Adcy10	-0.852093	1
Creg1	0.0550553	0.973963
Gpa33	0.437781	1
Ildr2	-1.26796	0.00457135
Tada1	-0.0239016	0.994256
Fam78b	1.1051	0.00254281
Tmco1	-0.43974	0.61405
Aldh9a1	-0.0217808	0.993069
Rxrg	0.658448	1
Lmx1a	-2.66957	1
Rgs5	-0.605719	0.40257
1700084C01Rik	-0.965348	1
Sh2d1b2	0	1
Sh2d1b1	0.791887	0.516514
Olfml2b	-0.141992	0.838403
Fcgr4	2.00991	0.0233562
1700009P17Rik	-0.817039	0.488501
Mpz	2.68368	0.00139332
Adamts4	0.299341	0.897501
B4galt3	0.188962	0.828509
Dedd	-0.0282731	0.992015
Pfdn2	0.1156	0.927231
Pvrl4	0.365851	1
Arhgap30	1.09198	0.0139991
F11r	0.4152	0.756064
Alyref2	-0.624219	0.376521
Cd244	-0.348296	0.920852
Cd48	1.47128	0.0336796
Cd84	1.39581	0.00139332
Slamf6	2.99172	1
Copa	-0.000100338	0.999896
Pex19	-0.144497	0.838516
Dcaf8	-0.0161052	0.993849
Igsf8	-0.212394	0.678224
Kcnj10	2.37663	1
Pigm	0.113022	0.919529
Slamf9	1.06609	0.13002
Igsf9	0.759074	0.476123
Tagln2	0.302188	0.424241
Ccdc19	-0.213863	0.963399
Vsig8	-0.0904961	1
Crp	0	1
Olfr16	0	1
Olfr218	0	1
Olfr1404	0	1
Olfr418-ps1	0	1
Aim2	0.723306	0.275402
Pyhin1	1.62839	1
Pydc3	0.933952	1
Olfr432	0	1
Olfr430	0	1
Olfr429	0	1
Olfr424	0	1
Olfr421-ps1	0	1
Olfr420	0	1
Spta1	1.03212	0.0441495
Olfr417	0	1
Olfr248	0	1
Olfr414	0	1
Olfr220	0	1
Fmn2	1.45326	1
Wdr64	0	1
Exo1	-0.387469	0.541314
Sdccag8	-0.290437	0.882699
Zbtb18	0.512236	0.190008
1700016C15Rik	0.668032	1
Gm16432	1.45937	0.739132
Desi2	0.0831704	0.939427
Cox20	-0.018359	0.995109
Efcab2	-0.122925	0.975648
Kif26b	-0.0122063	0.995451
Cnst	0.289837	0.624029
Sccpdh	0.0848961	0.94662
Cdc42bpa	0.290004	0.50909
Parp1	-0.00048597	0.999116
Lin9	-0.108443	0.950581
Acbd3	0.312149	0.398084
Sde2	0.222416	0.681221
Lefty2	-0.333834	1
Pycr2	0.0190825	0.99394
Lefty1	-0.611074	0.799798
Tmem63a	0.585899	0.0221779
Cnih4	0.131767	0.881889
Srp9	-0.0120897	0.995109
Trp53bp2	0.210216	0.762814
Susd4	-0.210661	0.95217
Tlr5	-0.198076	0.902419
Dusp10	1.00588	0.00139332
Rab3gap2	0.22862	0.784985
Bpnt1	-0.00072814	0.998869
Eprs	0.00433029	0.997725
Gpatch2	-0.0511361	0.980171
Esrrg	0.209541	1
Ptpn14	0.205277	0.691406
Angel2	-0.0858793	0.940449
A230020J21Rik	0.363829	0.961942
Nsl1	-0.361128	0.633286
Batf3	-1.31187	1
Tmem206	0.250169	0.919529
Ints7	0.0414415	0.981073
Lpgat1	0.0118214	0.995109
Nek2	-0.516275	0.162818
Slc30a1	0.60153	0.0565704
Gm10516	0.400451	0.894386
Kcnh1	0.881303	0.322167
Irf6	1.08587	1
A130010J15Rik	-0.300518	0.740398
Lamb3	-0.329486	0.868695
Plxna2	-0.390701	0.271836
Cd34	0.975867	0.00139332
Xkr4	-0.641815	1
Mrpl15	-0.208193	0.832782
Rgs20	2.23841	0.00139332
Sntg1	-0.510383	1
2610203C22Rik	0.255703	0.962685
Mybl1	0.463767	0.390254
Vcpip1	0.180002	0.789519
Snhg6	-0.483673	0.41708
Snord87	0	1
Ppp1r42	0.581546	1
Cops5	-0.022945	0.991956
Arfgef1	0.089496	0.930704
Cpa6	0.814795	0.0806642
Slco5a1	0.990786	0.210386
Ncoa2	-0.00972413	0.995582
Tram1	-0.0124435	0.994961
Lactb2	0.19358	0.789621
Gm5523	-0.297708	1
Eya1	-0.0752509	0.983984
Msc	4.57546	1
Sbspon	-0.142212	0.962339
Rpl7	-0.2056	0.74042
Stau2	0.200018	0.789621
Ube2w	0.0181399	0.993849
Tceb1	0.0865476	0.938646
Jph1	-0.764985	0.16274
Crisp4	0	1
Defb44-ps	0	1
Defb18	0	1
Pkhd1	1.38976	1
Mcm3	-0.232431	0.646077
Tram2	0.354384	0.296482
Gm4956	0	1
Kcnq5	1.28686	0.0160377
Rims1	1.02609	1
4933415F23Rik	0	1
Ogfrl1	-0.0884236	0.954962
Smap1	0.0588383	0.965476
1110058L19Rik	-0.397562	0.497589
Fam135a	0.215233	0.729354
Col19a1	1.90104	1
Gm20172	0	1
Gm597	0	1
Phf3	0.183283	0.758183
Prim2	-0.356108	0.49094
Bag2	0.42829	0.225471
Zfp451	0.179046	0.801015
Gm15455	1.27043	1
Bend6	0.0232377	0.997727
Ccdc115	0.0818177	0.979033
Prss40	0	1
AA619741	0	1
Fam168b	0.176998	0.756573
Uggt1	0.000950486	0.998522
Neurl3	1.68001	0.00457135
Kansl3	-0.0190522	0.99326
Lman2l	-0.152522	0.894114
Sema4c	-0.142043	0.887236
Fam178b	-0.283442	0.928674
Actr1b	0.143663	0.841691
Tmem131	0.130302	0.858395
Coa5	-0.0371796	0.981372
Mgat4a	0.711787	0.110231
4930594C11Rik	-1.05397	1
2010300C02Rik	1.24116	1
Tsga10	-0.314592	0.814015
Mitd1	0.100701	0.954185
Lyg2	0	1
Txndc9	0.110488	0.902419
Rev1	0.0685671	0.988963
Lonrf2	-0.412884	1
Chst10	-0.0609971	0.987882
Tbc1d8	-0.201705	0.992015
Snord89	0.889884	0.23799
Rnf149	0.329372	0.34763
Creg2	1.05341	1
Rfx8	1.08435	1
Gm16894	-3.41336	1
Mfsd9	-0.202476	0.882699
Tgfbrap1	0.134265	0.889683
Fhl2	0.74547	0.00254281
Uxs1	-0.152562	0.838516
Tex30	-0.109242	0.95458
Kdelc1	-0.391377	0.410727
Col5a2	0	1
Slc40a1	0.1557	0.949655
Gm4776	2.25134	1
Slc39a10	-0.116283	0.901982
Nabp1	0.0350591	0.986386
Myo1b	-0.0621721	0.965026
Gls	0.301154	0.416526
Nab1	0.467917	0.107574
Mfsd6	1.13651	0.00546107
Inpp1	-0.123427	0.94359
1700019D03Rik	1.98447	1
Pms1	-0.320389	0.742011
Asnsd1	-0.235356	0.621846
Stk17b	-0.041506	0.979033
Hecw2	-0.540144	0.733283
Gtf3c3	-0.0110011	0.995582
Pgap1	-0.440971	0.32244
Ankrd44	-0.378725	0.380416
Sf3b1	0.135133	0.854905
Hspd1	0.119669	0.913095
Hsfy2	0	1
Satb2	0.0143638	0.995109
BC055402	0	1
4930558J18Rik	-0.970237	0.276587
Tyw5	0.323986	0.789621
Kctd18	-0.107219	0.946286
Clk1	-0.213152	0.714398
Ppil3	-0.10926	0.962339
Orc2	0.0443877	0.980441
Fam126b	0.49263	0.576634
Als2cr12	0.250796	1
Trak2	0.215065	0.683845
Tmem237	-0.229439	0.751681
Sumo1	0.0623983	0.962685
Ica1l	1.808	1
Wdr12	0.094256	0.951333
Raph1	1.21858	0.00139332
Ino80d	0.337598	0.421861
Ndufs1	-0.054458	0.993849
Gpr1	0.0249007	1
Dytn	0	1
Mdh1b	-1.17614	1
Klf7	0.407687	0.271836
Mettl21a	-0.175757	0.82378
2810408I11Rik	0.480875	0.606289
Fzd5	0.0981046	0.926106
Plekhm3	0.331338	0.480767
Cryge	0	1
Crygc	0	1
Crygb	0	1
D630023F18Rik	-0.104609	1
Idh1	-0.0591061	0.962685
Kansl1l	0.209322	0.936077
Acadl	-0.0856999	0.939245
Myl1	0.889351	0.194713
Lancl1	-0.0697124	0.964051
Ikzf2	0.373225	0.658269
Bard1	-0.0937278	0.964207
Abca12	0.759067	1
Fn1	0	1
Mreg	-1.06255	0.15777
March4	-1.59176	1
Ankar	1.08147	1
Igfbp5	-0.794679	0.00139332
Tnp1	0	1
Tns1	1.26954	0.00139332
Aamp	0.0385101	0.979907
Tmbim1	0.273251	0.545829
Usp37	0.0986315	0.980982
Zfp142	0.38029	0.766852
Rnf25	0.176215	0.83209
Prkag3	-0.063387	1
Mir375	0	1
Ihh	0.956126	1
Nhej1	-0.274874	0.838516
Cnppd1	0.129648	0.884822
Abcb6	-0.20614	0.824362
Atg9a	-0.0439542	0.981372
Glb1l	-0.360881	0.825534
Tuba4a	0.465766	0.551504
Ptprn	0.565946	0.045104
Dnpep	-0.218366	0.652889
Gm15179	0	1
Chpf	-0.0146698	0.994256
Obsl1	-0.0739877	0.957659
Epha4	0.324661	0.579371
Farsb	-0.173531	0.785494
Scg2	-2.92431	0.00139332
Ap1s3	0.0738621	0.981073
Wdfy1	0.868536	0.00254281
Serpine2	0.442414	0.160227
Cul3	0.0860057	0.931499
Dock10	0.198685	0.896226
Irs1	0.1701	0.806985
Col4a4	0.011488	1
Slc19a3	-0.543702	0.611114
Sphkap	-2.31085	0.00139332
Pid1	0.63712	0.0153528
Dner	0.377331	0.824064
Trip12	0.122165	0.883269
Slc16a14	0.0657671	1
Sp110	1.36269	0.167583
A630001G21Rik	0.0336865	0.994256
Htr2b	0.370229	0.979033
Snord82	0	1
Pde6d	-0.274096	0.636815
Nppc	1.67474	1
Alppl2	0	1
Ecel1	-2.59762	0.00546107
Kcnj13	1.44524	1
Ngef	-0.359462	0.835536
Usp40	-0.0871048	0.95458
Dnajb3	-0.238185	0.992001
Glrp1	0.893175	1
Arl4c	0.775849	0.00254281
Gbx2	-0.712372	0.372095
Rab17	1.87818	1
Ilkap	0.0353327	0.987882
1700020N18Rik	0	1
Hes6	-0.0257254	0.993849
Per2	-0.102427	0.939454
Hdac4	-0.432533	0.216555
Ndufa10	-0.117722	0.928649
Olfr1416	0	1
Olfr1415	0	1
Olfr1414	0	1
Myeov2	-0.316605	0.473751
Otos	-1.25377	1
Ankmy1	-0.645493	1
9430060I03Rik	-0.0394541	1
Kif1a	-0.418627	0.536089
2310007B03Rik	-1.80291	1
Hdlbp	1.82286e-05	1
Stk25	0.0561334	0.98282
Thap4	-0.0238932	0.992015
Dtymk	-0.436822	0.316786
St8sia4	-0.585853	0.350113
Slco4c1	0	1
Slco6c1	0	1
D1Ertd622e	0.368976	0.56857
Ppip5k2	0.0850412	0.942235
Pam	0.343429	0.319273
B230216N24Rik	0.633827	1
Rnf152	0.711884	1
Pign	-0.164347	0.808502
Bcl2	1.02309	0.020323
Kdsr	0.306972	0.535775
Vps4b	0.01162	0.995109
Serpinb3a	0	1
Serpinb3d	0	1
Serpinb3b	0	1
Serpinb3c	0	1
Cdh19	0.299328	0.772435
Dsel	-0.164609	0.799785
Tsn	-0.0704336	0.951333
Gli2	-0.448819	0.422502
Inhbb	0.517471	0.130106
Ralb	0.2082	0.702008
Epb4.1l5	-0.0733965	0.985063
Ptpn4	0.209553	0.828509
Tmem177	-0.369343	0.659024
Tmem37	0.427294	0.537449
Dbi	-0.118696	0.883577
Steap3	-1.17753	0.00139332
Insig2	0.156621	0.831131
Htr5b	0.012212	1
Ddx18	0.083305	0.937942
Actr3	0.360636	0.272136
Lypd1	0.0789547	0.979033
Nckap5	-1.12985	0.0892728
Tmem163	0.750484	1
Map3k19	1.07077	1
Zranb3	-0.325503	0.64962
Lct	0.266074	1
Cxcr4	0.779231	0.15777
Cd55	1.91814	0.00139332
C4bp	-0.835529	0.659198
Pfkfb2	0.232802	0.817862
Il24	0	1
Il20	0	1
Mapkapk2	0.295969	0.421118
Dyrk3	0.915528	0.17917
Rassf5	0.225371	0.732355
Srgap2	0.00551334	0.997647
Mfsd4	0.224497	0.679999
Cdk18	0.148144	0.887712
Tmcc2	0.298224	0.636074
Cntn2	-1.61878	0.00139332
Nfasc	-0.218145	0.920987
Mdm4	-0.0373839	0.981073
Sox13	-0.0123264	0.996853
Snrpe	-0.188647	0.759115
Lax1	1.21566	1
Atp2b4	0.460882	0.155789
Optc	0.7101	0.495898
Prelp	0.1465	0.877972
Btg2	1.36202	0.00139332
Adora1	1.72494	1
Ppfia4	0.96994	0.53212
Tmem183a	0.185241	0.779895
Ppp1r12b	0.545553	0.124443
Lgr6	-0.508028	0.280515
Ptprv	0.177157	0.790546
Gpr37l1	0.21179	1
Rnpep	0.133421	0.905555
Timm17a	0.100126	0.92303
Shisa4	-0.00672726	0.997725
Ipo9	-0.126796	0.875934
Nav1	-0.115653	0.895926
Pkp1	0.300021	1
Igfn1	0.094428	1
5730559C18Rik	1.18318	0.0153528
Camsap2	0.230211	0.685685
9230116N13Rik	-0.255004	1
Nr5a2	-1.24757	1
Ptprc	1.03067	0.00457135
Nek7	-0.0513621	0.972879
Lhx9	-0.0279189	0.995582
2310009B15Rik	-0.117718	0.954962
Gm4788	-0.304054	1
Cfh	0.275125	0.660309
Cdc73	0.107818	0.930704
Trove2	-0.0665782	0.979033
Rgs2	0.342938	0.569676
Rgs1	1.62795	0.0704571
Rgs18	1.2654	0.228062
Pla2g4a	0.068264	0.955169
BC003331	-0.136062	0.992015
Prg4	-1.16994	0.00139332
Hmcn1	1.1186	0.00457135
Swt1	-0.000512245	0.999683
Rnf2	0.000933096	0.998522
1700025G04Rik	-0.239864	0.913554
Tsen15	-0.309073	0.556835
Rgl1	0.284722	0.474624
Smg7	0.213148	0.777793
Lamc2	1.12555	0.0511872
Lamc1	0.369289	0.268793
E330020D12Rik	0.832143	1
Dhx9	0.231412	0.607638
Npl	0.00600811	0.997917
5830403L16Rik	-1.04994	1
Cacna1e	-0.478226	1
Ier5	0.785513	0.00139332
Mr1	-0.053067	0.979033
Xpr1	0.109549	0.901053
Qsox1	0.204937	0.708486
Tor1aip1	0.351784	0.709063
Tdrd5	1.08174	1
Soat1	0.289919	0.489901
Tor3a	0.573493	0.0321107
Fam20b	0.00917482	0.995582
Ralgps2	0.434023	1
Rasal2	-0.193512	0.806552
Pappa2	-1.2636	0.00139332
4930562F07Rik	0.0909311	0.994961
Cacybp	0.00366038	0.997725
Rabgap1l	0.0634341	0.972436
Gpr52	-0.286953	1
Dars2	-0.620039	0.0982134
Klhl20	-0.0942539	0.933714
Prdx6	0.194272	0.758666
Suco	0.41061	0.197985
4930558K02Rik	1.38563	1
Dnm3	-0.648418	0.848052
Mettl13	0.0278054	0.992015
Prrc2c	0.291424	0.43803
Fmo4	0.850405	1
Fmo1	0.378656	0.756621
Fmo2	0.805153	1
Fmo6	0	1
Fmo3	-0.707918	1
Prrx1	0.404443	0.180492
Gorab	0.174581	0.836184
Mettl11b	0	1
BC055324	-0.34191	0.804364
Gm16548	-0.487936	1
Blzf1	0.161996	0.92412
Atp1b1	0.803514	0.271132
Sft2d2	0.03476	0.985971
Tiprl	0.0199552	0.993096
Dcaf6	0.03104	0.989326
Mpzl1	-0.085901	0.937942
Rcsd1	-0.192581	0.939861
Pou2f1	0.144018	0.910513
Dusp27	0.743226	0.488581
Mael	-0.425892	1
Pogk	0.0259549	0.993096
Gm4847	0	1
Fmo9	0	1
Gm16701	0.92098	0.473751
Uck2	0.0577249	0.978858
Mgst3	0.308152	0.721573
Lrrc52	0	1
Pbx1	0.0742618	0.953837
Nuf2	-0.731704	0.00546107
Rgs4	0.148563	0.892692
Hsd17b7	0.490823	0.0983438
