chrom	startCoord	endCoord	GeneName	strand	GROValue
chrII	373898	375728	YBR068C	-	-0.011
chrII	376611	378471	YBR069C	-	-0.008
chrII	379258	379972	YBR070C	-	0.552
chrII	380448	381084	YBR071W	+	0.408
chrII	382067	382712	YBR072W	+	2.863
chrII	383149	386026	YBR073W	+	0.123
chrII	386323	389254	YBR074W	+	-0.477
chrII	390264	391329	YBR076W	+	0.419
chrII	391842	392331	YBR077C	-	0.078
chrII	393160	394780	YBR078W	+	-0.131
chrII	395420	398315	YBR079C	-	-0.358
chrII	401290	405289	YBR081C	-	0.048
chrII	406665	407207	YBR082C	-	-0.291
chrII	409206	410667	YBR083W	+	-1.036
chrII	411091	414019	YBR084W	+	-0.585
chrII	414223	415299	YBR084C-A	-	-0.228
chrII	416020	416944	YBR085W	+	0
chrII	420238	423079	YBR086C	-	-0.155
chrII	423802	424867	YBR087W	+	-0.505
chrII	425027	425804	YBR088C	-	0.456
chrII	426370	427096	YBR090C	-	-0.292
chrII	427192	427522	YBR091C	-	-0.031
chrII	427735	429139	YBR092C	-	0.061
chrII	429585	430989	YBR093C	-	-0.257
chrII	432073	434335	YBR094W	+	-0.152
chrII	434443	435736	YBR095C	-	-0.142
chrII	436058	436751	YBR096W	+	0.168
chrII	436988	441353	YBR097W	+	-0.035
chrII	441552	443628	YBR098W	+	0
chrII	443858	444731	YBR101C	-	-0.422
chrII	445099	447361	YBR102C	-	-0.058
chrII	447746	449354	YBR103W	+	-0.008
chrII	449704	450694	YBR104W	+	0.273
chrII	450918	452007	YBR105C	-	0.751
chrII	452695	453262	YBR106W	+	-0.433
chrII	453830	454568	YBR107C	-	0.247
chrII	454859	457704	YBR108W	+	0.295
chrII	457957	458401	YBR109C	-	0.391
chrII	458910	460260	YBR110W	+	0.061
chrII	461216	461912	YBR111C	-	0.079
chrII	462908	465809	YBR112C	-	-0.315
chrII	467286	469659	YBR114W	+	0.582
chrII	469786	473965	YBR115C	-	-0.168
chrII	474430	476476	YBR117C	-	0.441
chrII	477709	479086	YBR118W	+	0.117
chrII	479376	480362	YBR119W	+	-0.989
chrII	480473	480962	YBR120C	-	-0.091
chrII	481402	483406	YBR121C	-	-1.074
chrII	484008	484542	YBR122C	-	-0.229
chrII	484780	486730	YBR123C	-	-0.101
chrII	487237	488419	YBR125C	-	0.146
chrII	488943	490431	YBR126C	-	0.229
chrII	491307	492861	YBR127C	-	-0.002
chrII	493119	494154	YBR128C	-	0.086
chrII	494391	495378	YBR129C	-	0
chrII	495630	496908	YBR130C	-	-0.086
chrII	497201	499316	YBR131W	+	-0.231
chrII	499690	501481	YBR132C	-	0.738
chrII	501842	504326	YBR133C	-	-0.09
chrII	504892	505345	YBR135W	+	-0.314
chrII	505706	512813	YBR136W	+	-0.328
chrII	513082	513622	YBR137W	+	0.387
chrII	513800	515375	YBR138C	-	0
chrII	515702	517229	YBR139W	+	0
chrII	517388	526667	YBR140C	-	-0.495
chrII	527063	528077	YBR141C	-	-0.635
chrII	528355	530677	YBR142W	+	-0.624
chrII	530907	532221	YBR143C	-	-0.438
chrII	533800	534856	YBR145W	+	-0.055
chrII	535298	536135	YBR146W	+	-0.284
chrII	536613	537504	YBR147W	+	0.583
chrII	537914	539744	YBR148W	+	0.516
chrII	540025	541060	YBR149W	+	-0.07
chrII	541247	544532	YBR150C	-	-0.217
chrII	545066	546017	YBR151W	+	0.362
chrII	546414	547290	YBR152W	+	-0.182
chrII	547498	548233	YBR153W	+	-0.47
chrII	548400	549048	YBR154C	-	-0.658
chrII	549809	550967	YBR155W	+	0
chrII	551142	553239	YBR156C	-	0.069
chrII	553581	554350	YBR157C	-	0.452
chrII	556588	558238	YBR158W	+	-0.934
chrII	558724	559768	YBR159W	+	0.294
chrII	560117	561014	YBR160W	+	-0.184
chrII	561673	562804	YBR161W	+	0.336
chrII	563242	564610	YBR162C	-	0.043
chrII	565270	565468	YBR162W-A	+	0
chrII	565762	567520	YBR163W	+	0.353
chrII	567914	568466	YBR164C	-	-0.126
chrII	568891	569725	YBR165W	+	-0.196
chrII	569881	571240	YBR166C	-	-0.185
chrII	571507	571930	YBR167C	-	-0.103
chrII	572410	573652	YBR168W	+	0.347
chrII	573954	576036	YBR169C	-	1.258
chrII	576383	578126	YBR170C	-	0.107
chrII	578403	579024	YBR171W	+	-0.038
chrII	579189	581412	YBR172C	-	-0.688
chrII	581765	582212	YBR173C	-	-0.256
chrII	582447	583395	YBR175W	+	-0.108
chrII	583759	584698	YBR176W	+	-0.075
chrII	584846	586202	YBR177C	-	0.872
chrII	586586	589154	YBR179C	-	0.271
chrII	589780	591499	YBR180W	+	-0.467
chrII	591751	592814	YBR181C	-	-0.118
chrII	593545	594904	YBR182C	-	0.504
chrII	596154	597105	YBR183W	+	0.655
chrII	597402	598974	YBR184W	+	0
chrII	599162	599999	YBR185C	-	-0.195
chrII	600592	602400	YBR186W	+	0.151
chrII	602673	603516	YBR187W	+	-0.581
chrII	603724	604147	YBR188C	-	-0.532
chrII	604547	605548	YBR189W	+	-0.33
chrII	606309	607180	YBR191W	+	-0.101
chrII	607691	608825	YBR192W	+	-0.437
chrII	610077	610449	YBR194W	+	0.063
chrII	610653	611922	YBR195C	-	-0.285
chrII	612275	613940	YBR196C	-	0.096
chrII	615242	615896	YBR197C	-	-0.174
chrII	616166	618563	YBR198C	-	0
chrII	618948	620343	YBR199W	+	0.006
chrII	620911	622567	YBR200W	+	0
chrII	623615	624251	YBR201W	+	0.147
chrII	625811	628349	YBR202W	+	-0.092
chrII	629207	631982	YBR203W	+	0.789
chrII	632293	633421	YBR204C	-	0.114
chrII	633661	634876	YBR205W	+	0.19
chrII	635185	636583	YBR207W	+	0.196
chrII	636742	642250	YBR208C	-	0.586
chrII	645589	646018	YBR210W	+	-0.036
chrII	646197	647172	YBR211C	-	-0.108
chrII	647925	649944	YBR212W	+	0.187
chrII	650407	651232	YBR213W	+	0.636
chrII	651454	653038	YBR214W	+	0.324
chrII	653395	655357	YBR215W	+	-0.237
chrII	655615	657640	YBR216C	-	0.021
chrII	657871	658432	YBR217W	+	-0.512
chrII	658746	662289	YBR218C	-	0.465
chrII	662538	663343	YBR219C	-	0.226
chrII	663034	664717	YBR220C	-	-0.117
chrII	665192	666293	YBR221C	-	0.381
chrII	666759	668391	YBR222C	-	0
chrII	668702	670337	YBR223C	-	-0.361
chrII	670666	673369	YBR225W	+	0.092
chrII	673611	675174	YBR227C	-	0
chrII	675352	676267	YBR228W	+	-0.301
chrII	676396	679261	YBR229C	-	0.063
chrII	679588	680090	YBR230C	-	0.185
chrII	682218	683130	YBR231C	-	-0.747
chrII	683467	684709	YBR233W	+	-0.247
chrII	685016	685301	YBR233W-A	+	0
chrII	685477	686632	YBR234C	-	0.115
chrII	686940	690303	YBR235W	+	0.143
chrII	690422	691733	YBR236C	-	-0.198
chrII	692008	694558	YBR237W	+	-0.242
chrII	695146	697342	YBR238C	-	-0.986
chrII	698393	699983	YBR239C	-	0.013
chrII	700529	701882	YBR240C	-	0
chrII	702628	704095	YBR241C	-	1.042
chrII	704709	705426	YBR242W	+	-0.033
chrII	705486	706833	YBR243C	-	0.141
chrII	707567	708056	YBR244W	+	-0.775
chrII	708189	711579	YBR245C	-	0.05
chrII	711630	712794	YBR246W	+	-0.002
chrII	713043	714495	YBR247C	-	-0.677
chrII	714846	716505	YBR248C	-	-0.265
chrII	716921	718034	YBR249C	-	-0.619
chrII	719072	720644	YBR250W	+	0.283
chrII	721429	722353	YBR251W	+	-0.356
chrII	722650	723094	YBR252W	+	-0.52
chrII	723309	723675	YBR253W	+	-0.49
chrII	723775	724303	YBR254C	-	-0.311
chrII	724495	726580	YBR255W	+	-0.286
chrII	726657	727114	YBR255C-A	-	-0.271
chrII	727425	728142	YBR256C	-	0.144
chrII	728924	729764	YBR257W	+	-0.085
chrII	729773	730202	YBR258C	-	-0.249
chrII	732678	734679	YBR260C	-	-0.247
chrII	734871	735570	YBR261C	-	-0.054
chrII	735759	736080	YBR262C	-	-0.673
chrII	736303	737776	YBR263W	+	-0.363
chrII	737809	738409	YBR264C	-	-0.093
chrII	738621	739584	YBR265W	+	-0.795
chrII	739880	741062	YBR267W	+	-0.808
chrII	741338	741656	YBR268W	+	-0.491
chrII	742199	742618	YBR269C	-	-0.082
chrII	742802	744440	YBR270C	-	-0.147
chrII	744893	746153	YBR271W	+	-0.582
chrII	746402	747845	YBR272C	-	-0.139
chrII	748102	749413	YBR273C	-	-0.195
chrII	749635	751219	YBR274W	+	-0.018
chrII	751397	757148	YBR275C	-	-0.193
chrII	757661	760085	YBR276C	-	0
chrII	760335	760941	YBR278W	+	-0.064
chrII	761298	762636	YBR279W	+	-0.12
chrII	762825	764739	YBR280C	-	0.254
chrII	765011	767648	YBR281C	-	-0.101
chrII	768281	768722	YBR282W	+	0.177
chrII	768984	770457	YBR283C	-	0.028
chrII	771280	773674	YBR284W	+	1.24
chrII	773963	774398	YBR285W	+	0
chrII	774741	776355	YBR286W	+	0.21
chrII	776612	777896	YBR287W	+	0.237
chrII	778053	779505	YBR288C	-	0.069
chrII	779708	782426	YBR289W	+	-0.252
chrII	782632	783598	YBR290W	+	-0.098
chrII	783714	784614	YBR291C	-	0.275
chrII	787047	788472	YBR293W	+	0.087
chrII	789276	791856	YBR294W	+	0.417
chrII	792890	796541	YBR295W	+	0.928
chrII	796839	798564	YBR296C	-	-1.143
chrII	800564	801971	YBR297W	+	0.844
chrII	802672	804517	YBR298C	-	0.931
chrII	805392	807147	YBR299W	+	0.155
chrII	809098	809461	YBR301W	+	0.211
chrIII	6478	8326	YCL073C	-	0.212
chrIII	9705	11082	YCL069W	+	-0.766
chrIII	11502	12285	YCL068C	-	0.021
chrIII	12385	13018	YCL067C	-	0
chrIII	13281	13809	YCL066W	+	-0.12
chrIII	15797	16880	YCL064C	-	0.088
chrIII	17289	18561	YCL063W	+	-0.142
chrIII	18815	22106	YCL061C	-	-0.597
chrIII	22428	23379	YCL059C	-	-0.68
chrIII	23522	23981	YCL058C	-	-0.514
chrIII	24767	26906	YCL057W	+	0.052
chrIII	26924	27359	YCL056C	-	-0.102
chrIII	27928	28936	YCL055W	+	-1.465
chrIII	31448	33974	YCL054W	+	-0.204
chrIII	34142	35393	YCL052C	-	-0.283
chrIII	35864	37616	YCL051W	+	-0.047
chrIII	37835	38801	YCL050C	-	0.117
chrIII	39785	40724	YCL049C	-	0.32
chrIII	42164	43556	YCL048W	+	0.011
chrIII	43660	44437	YCL047C	-	-0.582
chrIII	44622	46905	YCL045C	-	0
chrIII	47110	48364	YCL044C	-	-0.171
chrIII	48652	50221	YCL043C	-	0.332
chrIII	50837	52340	YCL040W	+	2.323
chrIII	52644	54882	YCL039W	+	0.296
chrIII	54940	56527	YCL038C	-	1.039
chrIII	57373	58678	YCL037C	-	-0.447
chrIII	59025	60726	YCL036W	+	-1.304
chrIII	60840	61173	YCL035C	-	-0.258
chrIII	61657	62722	YCL034W	+	-0.029
chrIII	62775	63282	YCL033C	-	0.118
chrIII	63440	64481	YCL032W	+	-0.003
chrIII	64674	65568	YCL031C	-	-0.458
chrIII	65933	68333	YCL030C	-	-0.073
chrIII	68598	69921	YCL029C	-	-0.618
chrIII	70149	71367	YCL028W	+	-0.204
chrIII	71802	73341	YCL027W	+	0
chrIII	73404	73986	YCL026C-B	-	-1.202
chrIII	74703	75285	YCL026C-A	-	0.295
chrIII	76017	77920	YCL025C	-	2.517
chrIII	79162	82276	YCL024W	+	0.313
chrIII	83620	83998	YCL021W-A	+	-0.126
chrIII	91324	92419	YCL018W	+	-1.444
chrIII	92777	94271	YCL017C	-	-0.107
chrIII	94621	95764	YCL016C	-	-0.278
chrIII	96281	101192	YCL014W	+	-0.05
chrIII	102079	103363	YCL011C	-	0.041
chrIII	103575	104355	YCL010C	-	-0.228
chrIII	104623	105553	YCL009C	-	-0.211
chrIII	105700	106857	YCL008C	-	0.011
chrIII	106977	107370	YCL007C	-	-0.161
chrIII	108024	108795	YCL005W	+	0.066
chrIII	109108	110674	YCL004W	+	0.146
chrIII	110811	111679	YCL002C	-	0
chrIII	113083	113545	YCL001W-A	+	0.525
chrIII	117383	118352	YCR002C	-	0.36
chrIII	118623	119175	YCR003W	+	-0.139
chrIII	119578	120322	YCR004C	-	1.062
chrIII	120949	122332	YCR005C	-	0.972
chrIII	126014	126734	YCR007C	-	0.106
chrIII	128473	130285	YCR008W	+	-0.187
chrIII	130748	131546	YCR009C	-	-0.283
chrIII	132276	133128	YCR010C	-	0.277
chrIII	133727	136877	YCR011C	-	0.797
chrIII	137749	139000	YCR012W	+	0.055
chrIII	139188	140937	YCR014C	-	-0.526
chrIII	141220	142174	YCR015C	-	-0.483
chrIII	143637	144510	YCR016W	+	-0.846
chrIII	144776	147638	YCR017C	-	-0.077
chrIII	148241	148907	YCR018C	-	0
chrIII	152840	153932	YCR019W	+	-0.71
chrIII	154015	154663	YCR020C	-	0.585
chrIII	154833	155100	YCR020C-A	-	-0.157
chrIII	155323	155560	YCR020W-B	+	-0.234
chrIII	156112	157111	YCR021C	-	0.408
chrIII	158541	160377	YCR023C	-	-0.036
chrIII	160747	162226	YCR024C	-	-0.106
chrIII	162948	163071	YCR024C-A	-	0
chrIII	164114	166343	YCR026C	-	-0.053
chrIII	167373	168003	YCR027C	-	-0.461
chrIII	170889	172428	YCR028C	-	0.307
chrIII	173829	176442	YCR030C	-	-0.535
chrIII	177503	178224	YCR031C	-	-0.247
chrIII	186492	190173	YCR033W	+	-0.096
chrIII	190595	191639	YCR034W	+	-0.024
chrIII	191837	193022	YCR035C	-	0.279
chrIII	193300	194302	YCR036W	+	0.224
chrIII	194417	197189	YCR037C	-	-0.134
chrIII	197624	199553	YCR038C	-	-0.536
chrIII	199549	200182	YCR039C	-	-0.093
chrIII	200445	200973	YCR040W	+	-0.103
chrIII	201177	205401	YCR042C	-	0.432
chrIII	206264	206648	YCR043C	-	-0.028
chrIII	206880	207954	YCR044C	-	0.015
chrIII	208138	209614	YCR045C	-	-0.558
chrIII	209917	210427	YCR046C	-	0.314
chrIII	210721	211549	YCR047C	-	-0.252
chrIII	211932	213765	YCR048W	+	0.16
chrIII	214074	214743	YCR051W	+	0.456
chrIII	214997	216449	YCR052W	+	-0.16
chrIII	216700	218245	YCR053W	+	-0.213
chrIII	218379	220071	YCR054C	-	-0.61
chrIII	220460	223232	YCR057C	-	-0.336
chrIII	223457	224234	YCR059C	-	-0.108
chrIII	224402	224738	YCR060W	+	0.09
chrIII	225566	227462	YCR061W	+	0
chrIII	228321	228795	YCR063W	+	-0.291
chrIII	229313	231008	YCR065W	+	-0.301
chrIII	231503	232967	YCR066W	+	-0.176
chrIII	233128	236326	YCR067C	-	-0.118
chrIII	237217	238780	YCR068W	+	-0.062
chrIII	239058	240015	YCR069W	+	0.419
chrIII	240106	240547	YCR071C	-	-0.02
chrIII	240808	242356	YCR072C	-	-0.848
chrIII	242591	246587	YCR073C	-	0
chrIII	246966	247914	YCR073W-A	+	-0.528
chrIII	248036	248819	YCR075C	-	0.061
chrIII	249296	250049	YCR076C	-	0.365
chrIII	250241	252632	YCR077C	-	-0.352
chrIII	252848	254177	YCR079W	+	-0.681
chrIII	254374	258658	YCR081W	+	-0.071
chrIII	258886	259273	YCR082W	+	-0.347
chrIII	259581	259965	YCR083W	+	0.415
chrIII	260314	262456	YCR084C	-	-0.498
chrIII	263395	263968	YCR086W	+	-0.611
chrIII	265071	266850	YCR088W	+	-0.014
chrIII	267437	272267	YCR089W	+	-0.252
chrIII	272318	272867	YCR090C	-	-0.575
chrIII	274407	276570	YCR091W	+	0.198
chrIII	276767	279824	YCR092C	-	0
chrIII	286765	287941	YCR094W	+	0.078
chrIII	288173	289262	YCR095C	-	0
chrIII	293182	293542	YCR096C	-	0.001
chrIII	297052	298609	YCR098C	-	0.325
chrIII	300835	301303	YCR099C	-	0.887
chrIII	301274	302225	YCR100C	-	0.691
chrIII	302485	303034	YCR101C	-	0.472
chrIII	304364	305471	YCR102C	-	0
chrIII	307804	308179	YCR104W	+	0.393
chrIII	309073	310159	YCR105W	+	0
chrIII	310961	313460	YCR106W	+	0.179
chrIII	313893	314985	YCR107W	+	-0.053
chrIV	5984	7814	YDL247W	+	0.718
chrIV	8682	9756	YDL246C	-	0.194
chrIV	11656	13360	YDL245C	-	0.36
chrIV	16203	17226	YDL244W	+	0.603
chrIV	17576	18566	YDL243C	-	0.228
chrIV	20634	21006	YDL241W	+	0.601
chrIV	22822	25876	YDL240W	+	0
chrIV	26402	28775	YDL239C	-	0.281
chrIV	28984	30454	YDL238C	-	0.607
chrIV	30656	31829	YDL237W	+	0.135
chrIV	32295	33234	YDL236W	+	-0.099
chrIV	33414	33918	YDL235C	-	0.41
chrIV	34236	36477	YDL234C	-	1.041
chrIV	36796	38173	YDL233W	+	0
chrIV	38486	38597	YDL232W	+	0
chrIV	38866	42244	YDL231C	-	-0.045
chrIV	42699	43707	YDL230W	+	-0.058
chrIV	44064	45906	YDL229W	+	-0.483
