chromosome	TSS	TES	Gene	h1logFC	h1pval	h3logFC	h3pval	h6logFC	h6pval	h24logFC	h24pval	d7logFC	d7pval
chr1	9898718	9931035	Mcmdc2	-0.173949	1	0.321263	1	-0.179057	1	-0.922431	1	-0.866894	1
chr1	9932105	9934199	Snhg6	0.399681	0.3981	0.692385	0.1419	0.622201	0.1601	0.465208	0.28075	0.232838	0.63235
chr1	9932105	9934199	Snord87	0	1	0	1	0	1	0	1	0	1
chr1	9958706	9999211	Ppp1r42	-1.92799	1	0	1	-2.16459	1	-0.688943	1	-1.04724	1
chr1	10014911	10027979	Cops5	0.416489	0.2122	0.27137	0.3825	0.375677	0.2354	0.146686	0.61065	0.207076	0.55595
chr1	10028298	10126849	Cspp1	-0.459255	0.2134	-0.588488	0.12035	-0.442449	0.2142	-0.489657	0.1532	-0.384528	0.32205
chr1	10127587	10222751	Arfgef1	-0.367303	0.24045	0.197696	0.53165	0.188108	0.52795	-0.44833	0.1249	-0.636978	0.0688
chr1	10314807	10710024	Cpa6	0.734057	0.1311	0.207418	0.67905	-0.00896067	0.98435	0.314427	0.5019	-0.0615381	0.9053
chr1	10983545	11293763	Prex2	0.180809	0.62615	0.813063	0.0351	-0.126052	0.71725	-0.797823	0.024	-0.621836	0.1298
chr1	11404185	11965983	A830018L16Rik	0.10521	1	-2.18034	1	-1.31776	1	-0.584317	1	0.167798	1
chr1	12657643	12663171	Gm17644	-1.14992	0.0915	-0.190503	0.77955	-0.729572	0.2718	-1.12846	0.08515	-0.931064	0.1792
chr1	12682510	12850453	Sulf1	-0.00399369	0.99215	0.00983141	0.9803	-0.13949	0.6971	-0.092017	0.7918	-0.112965	0.7972
chr1	12856630	12981216	Slco5a1	-0.144818	1	0.880113	1	0.772888	1	0.210988	1	0.265443	1
chr1	13103508	13117244	Prdm14	0	1	0	1	0	1	0	1	0	1
chr1	13129239	13364164	Ncoa2	-0.0229979	0.9463	-0.401051	0.23185	-0.322098	0.32185	-0.220056	0.47725	0.207406	0.5562
chr1	13554782	13579945	Tram1	-0.157324	0.61985	0.0540621	0.86245	0.171592	0.58505	-0.372621	0.19015	-0.689208	0.05025
chr1	13615979	13650590	Lactb2	0.442803	0.2316	-0.229791	0.5232	0.218551	0.51345	0.0903663	0.7784	0.0438971	0.91435
chr1	13658851	13691804	Xkr9	0	1	0	1	0	1	0	1	0	1
chr1	13775765	13777010	Gm5523	1.18239	0.0573	0.730427	0.26605	0.0648388	0.9087	0.658877	0.23615	0.283241	0.64995
chr1	14159038	14300280	Eya1	0.565771	0.3157	-1.67963	0.01295	-0.752965	0.18695	-0.0942728	0.8566	0.794298	0.1283
chr1	14743428	14746047	Msc	1.4531	1	1.50218	1	1.34304	1	1.52652	1	1.35708	1
chr1	14862728	14908943	Trpa1	0	1	0	1	0	1	0	1	-0.0410684	1
chr1	15302532	15704295	Kcnb2	0	1	0	1	0	1	0	1	0	1
chr1	15795738	15833510	Terf1	0.0339146	0.9257	-0.319511	0.3982	-0.103655	0.7672	-0.381316	0.263	-0.508461	0.1935
chr1	15843942	15882803	Sbspon	-0.817076	0.12615	-0.669665	0.1889	-0.45222	0.38535	-0.329392	0.47255	0.211486	0.70465
chr1	16056059	16083122	4930444P10Rik	-0.565756	1	0	1	-0.851977	1	-2.95801	1	-2.73872	1
chr1	16091375	16094514	Rpl7	0.0195429	0.9581	0.0134584	0.97295	-0.0644714	0.85875	0.189531	0.6194	0.189592	0.6927
chr1	16095962	16122631	Rdh10	-0.0559273	0.8798	0.623643	0.09385	0.250349	0.49595	-0.293338	0.4094	-1.18938	0.00455
chr1	16218890	16509383	Stau2	-0.115017	0.7927	-0.180948	0.67025	-0.218419	0.60515	-0.0950718	0.81285	0.140745	0.7487
chr1	16530868	16609419	Ube2w	0.271784	0.42085	-0.116773	0.7277	0.212766	0.51205	-0.0831288	0.7895	-0.467595	0.21065
chr1	16632845	16646946	Tceb1	0.656388	0.068	0.913814	0.00755	0.532514	0.1179	-0.223691	0.48625	-0.364515	0.33075
chr1	16647632	16652359	D030040B21Rik	0.146669	1	-0.378001	1	-0.54371	1	-0.425525	1	-3.87005	1
chr1	16655271	16668356	Tmem70	0.358502	0.3019	0.202488	0.55625	0.310736	0.34075	-0.0437651	0.88995	-0.430361	0.2476
chr1	16678536	16699686	Ly96	0.223158	0.68175	-0.0899387	0.8668	0.642879	0.1887	0.069156	0.89625	-0.0954037	0.8616
chr1	16985020	17087970	Jph1	-0.623575	0.25825	-0.4003	0.44045	0.114275	0.8085	-0.140332	0.76565	-1.31855	0.03205
chr1	17135453	17154351	Gdap1	-0.342259	1	-0.443904	1	-0.655918	1	-0.694674	1	0.315635	1
chr1	17591981	17621020	Pi15	-0.27684	0.54835	0.00167407	0.99615	1.01536	0.015	-0.912939	0.01765	-1.40228	0.0039
chr1	17717497	17756288	Crispld1	-0.298078	1	-0.917279	1	-0.416341	1	-1.19127	1	-0.6505	1
chr1	18105271	18127132	Crisp4	0	1	0	1	0	1	0	1	0	1
chr1	18200133	18213645	Defb44-ps	0	1	0	1	0	1	0	1	0	1
chr1	18226553	18227524	Defb18	0	1	0	1	0	1	0	1	0	1
chr1	18241058	18255219	Defb41,Gm15386	0	1	0	1	0	1	0	1	0	1
chr1	19093102	19156413	Tfap2d	0	1	0	1	0	1	-0.370603	1	-0.452483	1
chr1	19198994	19228815	Tfap2b	-0.0889668	1	0.09843	1	-0.193661	1	-0.617401	1	0.199137	1
chr1	20047859	20608138	4930486I03Rik	0	1	0	1	0	1	0	1	0	1
chr1	20047859	20608138	Pkhd1	-0.17511	1	-1.36866	1	-2.183	1	-4.2358	1	-1.63531	1
chr1	20669090	20669163	Mir206	0	1	0	1	0	1	0	1	0	1
chr1	20672849	20672968	Mir133b	0	1	0	1	0	1	0	1	0	1
chr1	20720985	20724577	Il17a	0	1	0	1	0	1	0	1	0	1
chr1	20767229	20774351	Il17f	2.1117	1	0	1	0.246336	1	0.202163	1	0.401914	1
chr1	20793094	20810294	Mcm3	0.386473	0.26795	0.00672433	0.9843	0.421194	0.18755	-0.207757	0.4933	-0.321588	0.40835
chr1	20878730	20880554	6720483E21Rik	-0.101141	1	0	1	1.22901	1	1.39055	1	1.24916	1
chr1	20880702	20928837	Paqr8	-0.248682	0.56565	-0.286484	0.47635	-0.483577	0.23615	-0.333508	0.37805	-0.741466	0.0986
chr1	20941706	20980922	Efhc1	-0.191323	0.68935	-0.80643	0.10565	-0.525728	0.24375	-0.0871717	0.8442	0.602931	0.2016
chr1	20991477	21069306	Tram2	-0.390071	0.44075	0.0242091	0.9622	-0.285998	0.5343	-0.351522	0.4706	-0.717736	0.1511
chr1	21208711	21220248	Tmem14a	-0.300066	0.5788	-1.24268	0.0272	-0.48341	0.35585	0.17933	0.7054	-0.17598	0.77055
chr1	21230669	21255640	Gsta3	-2.46253	1	-2.35866	1	0.0466772	1	-1.8403	1	-0.125683	1
chr1	21275326	21288393	Gm4956	0	1	0	1	0	1	0	1	0	1
chr1	21339757	21342280	Khdc1a	0	1	0	1	0	1	0	1	0	1
chr1	21358411	21359824	Khdc1c	0	1	0	1	0	1	0	1	0	1
chr1	21373636	21376465	Khdc1b	0	1	0	1	0	1	0	1	0	1
chr1	21388483	21952023	Kcnq5	-0.394011	1	-0.0339966	1	1.43706	0.01025	-0.50874	1	-1.0466	1
chr1	22278502	22812563	Rims1	-0.507056	1	0	1	0.996795	1	-1.82634	1	-0.632232	1
chr1	23107312	23109092	4933415F23Rik	1.54654	1	0	1	-0.753664	1	-0.664701	1	0	1
chr1	23279107	23279178	Mir30a	0	1	0	1	0	1	0	1	0	1
chr1	23298539	23298623	Mir30c-2	1.55568	1	0	1	0.278641	1	0	1	0	1
chr1	23373262	23390014	Ogfrl1	-0.0269222	0.94295	-0.63853	0.0864	-0.0215016	0.9495	-0.0858933	0.7988	-0.110502	0.7721
chr1	23768764	23929128	B3gat2	1.8563	1	0.263083	1	0.497603	1	-0.272701	1	0.336868	1
chr1	23768764	23929128	Smap1	0.000452998	0.99905	0.027245	0.9306	0.0929104	0.75595	-0.130218	0.66155	-0.127316	0.71755
chr1	24002777	24012479	1110058L19Rik	0.128008	0.74135	-0.138565	0.71185	-0.182867	0.62835	0.205591	0.56225	0.457829	0.26555
chr1	24017596	24107180	Fam135a	0.00511297	0.9874	0.0355673	0.911	0.0166147	0.95785	-0.479633	0.1227	-0.57981	0.1161
chr1	24184448	24259577	Col9a1	-1.45571	1	-0.626999	0.4262	-1.48176	0.06355	-0.655798	0.28755	-1.55274	0.0419
chr1	24264521	24594276	Col19a1	-1.47962	1	-0.968551	1	-0.63866	1	-1.52092	1	-2.00395	1
chr1	24685382	24823146	Lmbrd1	0.0299712	0.92875	0.107862	0.73065	-0.0633556	0.8414	-0.000838504	0.99765	0.210946	0.54345
chr1	25124320	25886552	Bai3	-1.33716	1	-1.12945	1	-1.77824	1	-1.66011	1	-3.63238	1
chr1	25124320	25886552	Gm20172	-1.64365	1	-0.258552	1	-1.39465	1	-0.924884	1	-0.0655806	1
chr1	26738645	26744305	4931408C20Rik	0	1	0	1	0	1	0	1	0	1
chr1	28832966	28837097	Gm597	0	1	0	1	0	1	0	1	0	1
chr1	30859186	30920101	Phf3	-0.305799	0.32825	0.109048	0.71695	0.125627	0.68225	0.0122465	0.9654	0.306587	0.3648
chr1	30997147	31006600	Ptp4a1	0.102264	0.7533	0.095865	0.7626	-0.0225295	0.9422	-0.606018	0.0401	-1.03994	0.0033
chr1	31197922	31279501	4931428L18Rik	0	1	0	1	0	1	0	1	0	1
chr1	31197922	31279501	Lgsn	0	1	0	1	0	1	0	1	0	1
chr1	31279683	31281132	Pih1d3	0	1	0	1	0	1	0	1	0	1
chr1	31321691	31324906	Gm4850	0	1	0	1	0	1	0	1	0	1
chr1	32229650	32714583	Gm5415	3.70843	1	3.06499	1	1.85292	1	2.23017	1	1.40191	1
chr1	32229650	32714583	Gm9839	0	1	0	1	0	1	0	1	0	1
chr1	32229650	32714583	Khdrbs2	0.0638488	1	-1.66234	1	0	1	-1.40099	1	0.344316	1
chr1	33510655	33726603	Prim2	-0.0616994	0.8663	-0.193724	0.6002	-0.204794	0.5444	-0.161347	0.6279	-0.467458	0.25105
chr1	33726668	33727557	1700001G17Rik	1.24135	0.1724	-0.655069	1	0.27554	1	0.778064	0.30715	0.272259	1
chr1	33776740	33799409	Rab23	0.140349	0.669	-0.0897938	0.77715	-0.155187	0.61805	-0.488414	0.10585	-0.313897	0.3697
chr1	33802328	33814595	Bag2	0.819979	0.0127	0.168372	0.5999	0.173871	0.58225	-0.23936	0.4189	-0.3949	0.2936
chr1	33818597	33871272	Zfp451	-0.534777	0.141	0.419045	0.2204	0.110899	0.7397	-0.237101	0.47655	-0.290296	0.4541
chr1	33892743	33895759	Gm15455	0.310168	0.54925	0.679706	0.16585	0.41985	0.408	0.279107	0.5581	0.586993	0.2625
chr1	33908896	33964466	Bend6	0.240439	0.5914	-0.116044	0.7958	0.371713	0.37325	0.193527	0.6347	0.103578	0.8367
chr1	34068669	34365497	Dst	-0.226311	0.56175	-0.128117	0.7319	-0.174693	0.63175	-0.5904	0.0793	-0.596655	0.1532
chr1	34489965	34490044	Mir5103	0	1	0	1	0	1	0	1	0	1
chr1	34493514	34496517	Ccdc115	-0.247003	0.51725	0.373709	0.27715	0.454899	0.17905	0.0949708	0.7677	-0.380645	0.33505
chr1	34496673	34502592	Imp4	0.315096	0.3525	0.403042	0.2205	0.443444	0.15935	0.186509	0.5401	0.47583	0.2144
chr1	34516590	34530624	Ptpn18	0.196752	0.77945	-0.0237994	0.9711	-0.765858	0.25025	0.438738	0.43205	-0.117768	0.85495
chr1	34555274	34559907	Prss39	1.51359	1	0	1	0	1	0	1	0	1
chr1	34592492	34601156	Cfc1	0	1	0	1	0	1	0	1	0	1
chr1	34609176	34617788	Prss40	0	1	0	1	0	1	0	1	0	1
chr1	34636537	34647789	Amer3	0	1	0	1	0	1	0	1	0	1
chr1	34690379	34693055	AA619741	0	1	0	1	0	1	0	1	0	1
chr1	34858566	34869599	Arhgef4	-1.26629	0.08765	-0.213432	0.7179	-0.196159	0.72775	0.317824	0.51675	0.73503	0.1748
chr1	34870062	34899895	Fam168b	-0.0422475	0.9053	-0.443763	0.1946	-0.259037	0.43775	-0.427194	0.17225	-0.444841	0.24825
chr1	34906803	34936430	Plekhb2	-0.0614681	0.8538	0.232771	0.45715	0.267101	0.39585	0.0202517	0.94775	0.0265252	0.9393
chr1	36125244	36163291	Hs6st1	0.157132	0.67265	0.289709	0.39165	-0.256022	0.4508	-0.142657	0.67855	-0.467934	0.21795
chr1	36196872	36301147	Uggt1	-0.0713758	0.8268	-0.123228	0.70225	-0.172375	0.5829	-0.367055	0.21635	-0.302538	0.4099
chr1	36321446	36330270	Neurl3	1.07361	0.0925	1.13244	0.0778	-0.00921472	0.98945	-0.423834	0.49185	0.522454	0.44785
chr1	36364577	36380874	Arid5a	1.01738	0.0106	-0.00200125	0.99595	-0.583375	0.1417	-0.24458	0.5098	-0.279513	0.51995
chr1	36392574	36426026	Kansl3	0.0934792	0.77015	0.125757	0.6794	0.110664	0.719	0.149632	0.61425	-0.028785	0.9327
chr1	36480030	36502084	Lman2l	-0.216404	0.5769	-0.493067	0.1941	-0.659698	0.07245	0.107802	0.751	0.244248	0.5248
chr1	36528441	36565621	Cnnm4	-0.136683	0.7037	0.291461	0.4008	-0.383473	0.26975	-0.545824	0.104	-1.09246	0.00755
chr1	36568720	36585082	Cnnm3	-0.382094	0.31055	0.102716	0.7821	0.0908412	0.79985	0.103271	0.7586	0.604282	0.1271
chr1	36587378	36592574	Ankrd23	-0.554074	0.39575	0.148558	0.7907	0.270618	0.5802	0.334418	0.51575	-0.230215	0.69105
chr1	36595017	36604046	Ankrd39	-0.191523	0.65135	-0.399735	0.3307	-0.148307	0.7124	0.125106	0.74175	0.0373036	0.93225
chr1	36605486	36615226	Sema4c	-0.406788	0.2586	0.139482	0.6753	0.103655	0.75835	0.395016	0.2043	0.0635616	0.8635
chr1	36619540	36740028	Fam178b	0.145632	0.86415	-0.281673	0.74885	-0.121299	0.87745	0.764733	0.2812	0.979196	0.2321
chr1	36748331	36750233	Cox5b	0.615092	0.0658	0.579403	0.0699	0.311967	0.3302	0.482199	0.11715	0.792545	0.04015
chr1	36756046	36766770	Actr1b	0.228495	0.4755	0.417482	0.1909	0.382934	0.20485	0.098505	0.73615	-0.00270667	0.9951
chr1	36771382	36814805	4933424G06Rik	-2.06771	1	0.718384	1	-1.75959	1	-1.37729	1	-2.47406	1
chr1	36818705	36839661	Zap70	-2.27466	1	-3.59483	1	0	1	-0.26155	1	0.708111	1
chr1	36849033	36996372	Tmem131	-0.0595234	0.84805	-0.168877	0.5784	0.0505889	0.8741	-0.375227	0.2113	-0.27447	0.41695
chr1	37276105	37320229	Cnga3	-1.7975	1	1.35464	1	-0.268785	1	-0.806437	1	-2.04697	1
chr1	37356737	37467580	Inpp4a	-0.368181	0.36725	0.10259	0.78955	-0.337719	0.38045	-0.338398	0.35575	-0.209624	0.64175
chr1	37473929	37486948	Coa5	-0.101228	0.7495	0.0997015	0.74425	0.138921	0.64445	-0.128041	0.6514	-0.122466	0.7212
chr1	37487016	37495969	Unc50	0.0660921	0.84295	-0.0434231	0.89095	0.296951	0.3467	0.116897	0.6943	0.0382563	0.91295
chr1	37496184	37593104	4930594C11Rik	0.151915	0.7343	0.0735659	0.86805	0.36386	0.38255	-0.181046	0.6613	-0.361134	0.44075
chr1	37496184	37593104	Mgat4a	-0.257634	0.76825	-0.281102	0.73	0.0142257	0.98675	-0.197493	0.79495	-0.512865	0.596
chr1	37668520	37776656	2010300C02Rik	0.012868	1	-1.79085	1	-1.38906	1	-1.72834	1	-1.05178	1
chr1	37811620	37921924	Tsga10	0.0248507	0.96875	-0.597071	0.34875	-0.81847	0.18305	-0.380506	0.53825	-0.00421629	0.99285
chr1	37929050	37933143	Lipt1	-0.642832	0.18375	0.225465	0.6187	0.255928	0.58915	0.343682	0.42505	0.713483	0.1382
chr1	37935734	37947256	Mitd1	0.0087487	0.98405	0.242259	0.5725	0.632346	0.0968	-0.047147	0.90315	-0.0190402	0.9653
chr1	37947397	37955178	Mrpl30	0.239894	0.53865	0.0617364	0.87455	-0.100168	0.7818	0.116684	0.74445	0.685538	0.08185
chr1	37962767	37973338	Lyg2	0	1	0	1	0	1	0	1	-0.172953	1
chr1	38003582	38014604	Lyg1	0	1	0	1	0	1	0	1	0	1
chr1	38040711	38054053	Txndc9	0.27456	0.3925	0.0425827	0.89655	0.188479	0.5351	-0.115486	0.7044	0.0624973	0.86105
chr1	38054854	38186507	Eif5b	-0.415587	0.2669	-0.121429	0.73945	-0.0201177	0.9546	-0.584016	0.08765	-0.353021	0.39045
chr1	38054854	38186507	Rev1	-0.607677	0.5844	-0.125	0.89095	0.0106636	0.98995	-0.0356334	0.9634	-0.282428	0.7995
chr1	38234171	38721800	Aff3	-0.206863	0.5618	-0.956855	0.00855	-0.82297	0.02605	-0.061811	0.8585	0.948161	0.01575
chr1	38851353	38878060	Lonrf2	-0.459654	1	-0.297512	1	0.773144	1	-0.224054	1	-0.270988	1
chr1	38920717	38955005	Chst10	-0.330228	0.5522	-0.908266	0.11495	0.0305269	0.9491	0.21054	0.63595	0.201669	0.6903
chr1	38995993	39007121	Nms	0	1	0	1	0	1	0	1	0	1
chr1	39044658	39054081	Pdcl3	0.208799	0.5108	0.076037	0.80875	-0.0873787	0.77245	-0.306107	0.2943	-0.529597	0.13155
chr1	39251116	39420085	Npas2	0.360131	0.40905	-0.975789	0.04115	-0.527943	0.20455	0.369977	0.34085	0.397839	0.37655
chr1	39424695	39535592	Rpl31	0.141756	0.68235	0.458827	0.1751	0.0678608	0.84715	0.455774	0.1521	0.988398	0.01835
chr1	39424695	39535592	Tbc1d8	0.133224	0.93625	0.302209	0.85025	0.0533086	0.9728	-0.0196571	0.9907	-0.232789	0.87275
chr1	39592646	39603722	Cnot11	0.0830226	0.79935	0.235215	0.4769	0.158748	0.60735	-0.131292	0.6621	-0.0203297	0.9549
chr1	39605591	39605685	Snord89	0	1	0	1	0	0.04195	0	1	0	1
chr1	39608143	39634192	Rnf149	0.108187	0.7212	0.676346	0.03135	0.505016	0.1112	-0.368282	0.21025	-0.665494	0.0502
chr1	39675250	39708027	Creg2	0.533611	1	1.32432	1	0.330467	1	0.584923	1	0.199229	1
chr1	39722145	39777834	Rfx8	-0.707444	1	-1.64889	1	-1.46632	1	-0.489228	1	-0.00477811	1
chr1	39860985	39862177	Gm3646	0	1	0	1	0	1	0	1	0	1
chr1	39899272	39904175	1700066B17Rik	0	1	0	1	0	1	0	1	0	1
chr1	39957757	40083155	Map4k4	-0.258687	0.50435	0.163582	0.6868	-0.0576971	0.8799	-0.460456	0.19955	-0.522491	0.223
chr1	40133056	40182070	Gm16894	-2.43999	1	-1.17629	1	-3.70753	1	-2.18476	1	-0.71893	1
chr1	40133056	40182070	Il1r2	0.59173	0.4928	-0.479893	0.5957	0.0712184	0.9224	0.840835	0.2112	0.301006	0.70415
chr1	40281924	40373022	Il1r1	-0.217525	0.5537	0.0787975	0.82595	-0.0321222	0.92835	-0.0831614	0.7996	-0.420083	0.3221
chr1	40381471	40422316	Il1rl2	0.0604447	0.8787	-0.00792772	0.98625	-0.150773	0.6863	-0.287556	0.43875	-0.697415	0.1325
chr1	40496493	40522259	Il1rl1	0.559384	0.18745	1.5809	0.0005	1.57769	5.00E-05	-1.26367	0.0023	-1.06551	0.02705
chr1	40522396	40557699	Il18r1	0.767005	1	-0.514483	1	-0.297401	1	-1.97711	1	0.432586	1
chr1	40572206	40606142	Il18rap	-0.173086	0.7417	0.282617	0.5494	0.402757	0.3809	-0.96132	0.0465	-0.975171	0.07905
chr1	40637071	40687576	Slc9a4	-0.870461	1	0.326313	1	0.22718	1	-0.183475	1	-0.302882	1
chr1	40738556	40825730	Slc9a2	0	1	-1.59494	1	-2.12616	1	0	1	0	1
chr1	40828884	40847502	Mfsd9	-1.01534	0.05865	-0.524594	0.25895	-0.192724	0.64925	0.054887	0.90015	0.294493	0.5546
chr1	40862445	40912112	Tmem182	0	1	0	1	0	1	0	1	0	1
chr1	41224404	41238097	4930448I06Rik	0	1	0.200699	1	0.278641	1	0	1	0	1
chr1	42705044	42751670	2610017I09Rik	0	1	0	1	0	1	0	1	0	1
chr1	42753990	42757054	Pou3f3	0	1	0	1	0	1	0	1	0	1
chr1	42757180	42760021	2900092D14Rik	-1.53265	1	-1.81473	1	-1.16053	1	-0.52391	1	-0.682281	1
chr1	42908077	42962528	Mrps9	-0.00592679	0.9871	-0.354128	0.3166	-0.170374	0.61515	-0.0275307	0.93085	0.134664	0.7156
chr1	43009716	43092294	Gpr45	-1.04765	1	0.0305625	1	0	1	0	1	0	1
chr1	43104113	43155467	Tgfbrap1	-0.329424	0.3238	-0.346736	0.2951	-0.335759	0.3078	-0.188345	0.54485	-0.00508436	0.9879
chr1	43155554	43172791	AI597479	-0.62368	0.0929	-0.0527674	0.8802	0.177549	0.60205	0.137096	0.6714	-0.0119919	0.9733
chr1	43179918	43220806	Fhl2	0.258003	0.4854	-0.613151	0.0908	-0.705086	0.03605	-0.706807	0.0419	-1.11341	0.0108
chr1	43502595	43627363	Nck2	-0.360586	0.3191	-0.24011	0.4641	-0.248811	0.45865	-0.0529293	0.862	-0.115988	0.7564
chr1	43787446	43799409	1500015O10Rik	0.395568	0.27405	0.200616	0.56585	0.0559685	0.8678	0.599991	0.05475	0.754997	0.047
chr1	43807075	43884553	Uxs1	0.171529	0.59285	0.0736654	0.8141	0.0416164	0.8942	0.0609804	0.83405	-0.247171	0.4945
chr1	43990851	44059816	Tpp2	0.0697159	0.82415	0.122433	0.693	0.180189	0.55855	-0.391809	0.18145	-0.576091	0.09135
chr1	44066252	44076851	Mettl21c	0	1	0	1	0	1	0	1	0	1
chr1	44143461	44159233	Tex30	-0.0659959	0.89295	0.115437	0.81885	0.314833	0.49515	-0.464329	0.3321	-1.05065	0.05765
chr1	44163390	44175618	Kdelc1	-0.0282299	0.93235	-0.232318	0.4691	-0.0420825	0.8925	0.0737224	0.8054	-0.419476	0.22875
chr1	44176812	44201616	Bivm	-0.833363	0.0302	-0.396333	0.25595	0.0732308	0.8365	-0.0643418	0.84995	-0.269025	0.5003
chr1	44204588	44238105	Ercc5	-0.362792	0.2762	-0.655575	0.05385	0.013671	0.96675	-0.270307	0.38495	-0.150591	0.67235
chr1	44260914	44275776	Mettl21e	0	1	0	1	0.697438	1	-0.397211	1	0	1
chr1	44608515	44853681	4930521E06Rik	0	1	0	1	0	1	0	1	0	1
chr1	44608515	44853681	Gulp1	-0.0214343	0.95305	-0.919016	0.0105	-0.84349	0.01505	-0.0932657	0.75315	-0.111025	0.7779
chr1	45368382	45406551	Col3a1	0	1	0	1	0	1	0	1	0	1
chr1	45431175	45560127	Col5a2	-0.422012	0.6	-0.449885	0.569	-0.771282	0.28145	-0.395024	0.6602	-0.696833	0.41705
chr1	45852345	45880458	Wdr75	-0.143233	0.6594	0.330904	0.29045	0.452522	0.12985	-0.313979	0.28315	-0.534799	0.1331
chr1	45964914	45982439	Slc40a1	-0.791816	0.12435	-1.83317	0.00315	-1.09564	0.0302	-0.145888	0.7411	-0.373699	0.45405
chr1	46077259	46087282	Gm4776	0	1	0	1	0	1	0	1	0	1
chr1	46123582	46430395	Dnahc7b	0.438908	1	-1.06131	1	-0.591502	1	-0.239673	1	1.10296	1
chr1	46864388	46910354	Slc39a10	0.0954569	0.77335	-0.649414	0.05775	0.274977	0.38525	-0.225764	0.4633	-0.301016	0.3963
chr1	50984366	51244114	Tmeff2	0.570638	0.24665	-0.720934	0.20415	-0.1855	0.6864	-0.00929885	0.98235	0.203028	0.6891
chr1	51275229	51390623	9330175M20Rik	0	1	0	1	0	1	0	1	0	1
chr1	51275229	51390623	Sdpr	0.318114	0.3235	-1.1066	0.0009	0.404509	0.1812	-0.158925	0.5882	0.644813	0.06615
chr1	51526331	51535243	Nabp1	0.230409	0.52165	0.156109	0.6532	0.439022	0.1983	-0.52577	0.1331	-0.643692	0.11395
chr1	51806609	51972818	Myo1b	-0.146562	0.6542	-0.347207	0.2592	-0.147826	0.6257	-0.245701	0.3994	-0.946232	0.00815
chr1	52065087	52164028	Stat4	0.555685	1	0	1	1.77978	1	0.18892	1	2.03219	1
chr1	52176281	52218709	Stat1	-0.505155	0.1332	-0.341759	0.29445	-0.0963005	0.7548	-0.0259042	0.92935	-0.146209	0.69715
chr1	52220293	52290076	Gls	0.00152528	0.99635	-0.179057	0.5865	0.187411	0.55215	-0.482915	0.1103	-0.725427	0.0476
